101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
105,Satyam,21,85
107,Shivam,22,65
108,Shivama,21,69
101,Abhishek,22,91.4
102,Anish,22,85
103,Ram,21,95
104,Sahil,22,85
